University,Status,Target Major,Term,GRE Verbal,GRE Quantitative,GRE Writing,GRE Total,TOEFL/IELTS,UG College,UG Major,GPA,Papers,Work Exp
"University of Michigan, Ann Arbor",Admit,Industrial Engineering,Fall 2018,167,158,4,325,105,Vellore Institute of Technology,Mechanical Engineering,9.97,N/A,0 Mo
Western University,Reject,Computer Science,Fall 2018,163,152,4,315,8,G H Patel College Of Engineering & Technology,Information Technology,8.78,N/A,0 Mo
"Illinios Institute of Technology, Chicago",Admit,Electrical & Computer Engineering,Fall 2018,155,147,4,302,101,R.M.K. Engineering College,ECE,8.11,N/A,15 Mo
"University of Michigan, Dearborn",Admit,Industrial and Systems Engineering,Fall 2019,167,142,3.5,309,100,College Of Engineering Pune,Metallurgical Engineering,8.63,0,12 Mo
University of Waterloo,Reject,Electrical & Computer Engineering,Fall 2020,N/A,N/A,N/A,N/A,8,Vishwakarma Gov. Engineering college,Instrumentation Engineering,7.99,N/A,0 Mo
Carnegie Mellon University,Reject,Finance,Fall 2020,164,156,4,320,8,Ramrao Adik Institute of Technology,EEE,7.25,N/A,6 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,168,157,3,325,115,Gitam University,Computer Science,8.5,0,0 Mo
North Carolina State University,Admit,Computer Engineering,Fall 2016,164,155,4,319,114,NIT Surathkal,Computer Science,0,N/A,0 Mo
"University of Texas, Dallas",Reject,Electrical Engineering,Fall 2016,164,142,3,306,93,"kakatiya institute of technology and sciences, warangal",EEE,73.4,N/A,0 Mo
"University of Illinois, Urbana Champaign",Reject,Electrical & Computer Engineering,Fall 2020,168,160,4,328,109,NIT Trichy,ECE,8.81,N/A,17 Mo
"University of Texas, Austin",Reject,Civil Engineering,Fall 2017,159,153,3.5,312,104,University of Petroleum and Energy Studies,Civil Engineering,83,N/A,0 Mo
"University of California, Santa Barbara",Admit,Electrical & Computer Engineering,Fall 2020,168,164,3.5,332,113,R.V,ECE,9.11,N/A,0 Mo
Kansas State University,Reject,Civil Engineering,Fall 2019,160,143,4.5,303,93,"AP Shah Institute Of Technology, Thane",Civil Engineering,7.22,N/A,6 Mo
"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2017,158,152,4,310,103,Alliance University,Computer Science,82.06,N/A,0 Mo
University of Arizona,Reject,Electrical & Computer Engineering,Fall 2019,166,149,N/A,315,109,"JSS Academy of Technical Education, Noida",EEE,67,N/A,0 Mo
"University of Maryland, College Park",Reject,Software Engineering,Fall 2016,167,153,4,320,107,NIT Surathkal,Information Technology,8.69,N/A,0 Mo
University of Canterbury,Admit,Civil Engineering,Fall 2020,153,142,3,295,95,Maharashtra Institute of Technology,Civil Engineering,62.31,N/A,0 Mo
"University of Texas, Arlington",Admit,Mechanical Engineering,Spring 2017,161,140,2.5,301,6.5,Sardar Vallabhbhai Patel Institute of Technology,Mechanical Engineering,6.1,N/A,0 Mo
New York University,Reject,Data Science,Fall 2019,N/A,N/A,N/A,N/A,97,Visvesvaraya Technological University,Computer Science,73,N/A,29 Mo
"Texas A&M University, College Station",Reject,Computer Science,Fall 2013,164,156,4,320,116,Savitribai Phule Pune University,Computer Science,56.2,N/A,0 Mo
"University of Texas, Dallas",Admit,Business Analytics Flex,Fall 2020,160,144,3,304,91,SRM University,Computer Science,84,N/A,0 Mo
Virginia Tech University,Reject,Computer Science,Fall 2019,167,145,3.5,312,100,Sreenidhi Institute of Science and Technology,Mechanical Engineering,76,0,19 Mo
North Carolina State University,Reject,Computer Engineering,Fall 2016,161,159,4.5,320,112,"Sri Jayachamarajendra College Of Engineering, Mysore",Computer Science,9.23,N/A,0 Mo
"University of Dayton, Ohio",Admit,Computer Science,Fall 2019,156,146,4,302,6.5,"Sinhgad Institute Of Technology And Science, Narhe",Computer Science,62.2,N/A,0 Mo
"University of Illinois, Chicago",Admit,Mechanical Engineering,Fall 2011,152,164,0,316,98,K. J. Somaiya College of Engineering,Mechanical Engineering,63,N/A,0 Mo
"Oklahoma State University, Stillwater",Reject,Electrical & Computer Engineering,Fall 2014,162,156,3,318,105,"JNTU, Hyderabad",ECE,65,N/A,0 Mo
San Jose State University,Admit,Electrical Engineering,Fall 2018,164,160,4,324,103,Pondicherry Engineering College,ECE,7.63,N/A,0 Mo
"Indiana University, Bloomington",Reject,Computer Science,Fall 2016,166,144,3,310,92,"Shri guru govind singh college of engineering, nanded",Computer Science,8.59,N/A,0 Mo
"University of South Carolina, Columbia",Reject,Electrical Engineering,Fall 2016,164,142,3,306,93,"kakatiya institute of technology and sciences, warangal",EEE,73.4,N/A,0 Mo
"University of North Carolina, Charlotte",Reject,Computer Science,Fall 2020,160,138,3.5,298,7,vignan's lara institute of science and techonology,ECE,79,0,13 Mo
Pennsylvania State University,Admit,Industrial Engineering,Fall 2017,170,155,3.5,325,111,"Sardar Patel College Of Engineering, (SPCE), Andheri",Mechanical Engineering,8.73,N/A,15 Mo
"University of Texas, Austin",Admit,Business Analytics,Fall 2019,169,162,4,331,106,IIT Roorkee,Chemical Engineering,8.57,N/A,16 Mo
Western Michigan University,Admit,Industrial Engineering,Fall 2018,148,145,3,293,80,SRM University,Automobile Engineering,7.5,1,4 Mo
"University of California, Irvine",Admit,Electrical Engineering,Fall 2012,164,158,0,322,104,DJ Sanghvi College of Engineering,ECE,76.7,N/A,0 Mo
"University of California, San Diego",Admit,Computer Science,Fall 2017,170,157,4,327,113,Vellore Institute of Technology,Information Technology,9.31,N/A,0 Mo
