University,Status,Target Major,Term,GRE Verbal,GRE Quantitative,GRE Writing,GRE Total,TOEFL/IELTS,UG College,UG Major,GPA,Papers,Work Exp
Arizona State University,Admit,Aerospace Engineering,Fall 2023,161,146,3,307,7.5,CVR College of Engineering,Mechanical Engineering,7.8,1,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,161,159,4,320,116,"Ramrao Adik Institute of Technology , Nerul",Computer Science,8.3,1,55 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,155,153,3.5,308,104,VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY,Mechanical Engineering,9.29,0,24 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2023,N/A,N/A,N/A,N/A,7,University of Petroleum and Energy Studies,Aerospace Engineering,7.5,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,169,151,3.5,320,101,IIT Madras,Chemical Engineering,8.54,1,22 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2023,170,151,3,321,6.5,Institute Of Aeronautical Engineering,Aeronautical Engineering,7.5,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,164,143,3,307,95,University of Pune,Mechanical Engineering,9.6,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,170,153,3,323,109,Pandit Deendayal Petroleum University,Mechanical Engineering,92,1,0 Mo
Arizona State University,Reject,Aerospace Engineering,Fall 2023,160,156,3,316,102,NIT Durgapur,Mechanical Engineering,7,2,14 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,146,140,3,286,6.5,"Bharath University, Selaiyur, Tambaram",Aerospace Engineering,9,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,165,169,5,334,111,University of Mumbai,Mechanical Engineering,9.4,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,162,158,4,320,108,M S Ramaiah Institute of Technology,Mechanical Engineering,9.3,0,7 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,N/A,N/A,N/A,N/A,8,SSN College of Engineering,Mechanical Engineering,9,0,0 Mo
Arizona State University,Admit,Aerospace Engineering,Fall 2023,150,150,4,300,7.5,sandip univeristy nashik,Aerospace Engineering,8.15,5,0 Mo
